,epoch,train_loss,train_acc,test_loss,test_acc
0,0,1.4942672146259022,0.59954814459373,1.044104288942136,0.7225439297124601
1,1,1.0121895948893278,0.6955374280230326,0.8491687664208701,0.7470047923322684
2,2,0.8997525940967994,0.714631317978247,0.7684370942961294,0.7596845047923323
3,3,0.8469443114918924,0.7241882597568778,0.7290085726462233,0.7656749201277955
4,4,0.8161413307877893,0.7302463211772233,0.7040586121166095,0.7700678913738019
5,5,0.7933279360362679,0.7363443698016635,0.6862235923354237,0.7751597444089456
6,6,0.7743139483573265,0.7413427703134997,0.6744140045711408,0.7777555910543131
7,7,0.7619400286971951,0.7443418106206015,0.6634525348203251,0.7809504792332268
8,8,0.7537626528961111,0.7455814139475367,0.6566752783787517,0.7818490415335463
9,9,0.7450072981955833,0.7502199296225208,0.6461813710748959,0.7857428115015974
10,10,0.7426243594305987,0.7489403390914907,0.6411969750262678,0.7852436102236422
11,11,0.7335790663824124,0.7523592450415867,0.6384915688548225,0.7875399361022364
12,12,0.727992924336661,0.753478886756238,0.6316319803079478,0.7874400958466453
13,13,0.7293541464032229,0.751799424184261,0.6294741959998402,0.7879392971246006
14,14,0.7225804080851781,0.7558381317978247,0.6242091837592019,0.7896365814696485
15,15,0.7158169651062002,0.75677783109405,0.623136396130053,0.7911341853035144
16,16,0.7147915441678719,0.7574176263595649,0.6201775155890102,0.7926317891373802
17,17,0.7153781471119732,0.7572576775431862,0.6162988526371721,0.7920327476038339
18,18,0.7110910220590068,0.7574376199616123,0.6144693915645916,0.7917332268370607
19,19,0.7068237288403953,0.758757197696737,0.6139138413313479,0.7925319488817891
